id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
41735551,PALM BEACH APARTMENT - Torremolinos - Free Parking,244492011,Raul,,Churriana,36.6242,-4.49498,Entire home/apt,213,4,2,2021-07-04,0.07,33,93,1,VFT/MA/36833
52891016,APARTAMENTO CON ENCANTO,130240660,Jose Maria,,Churriana,36.62842,-4.49617,Entire home/apt,79,4,2,2022-03-19,0.34,1,307,2,VFT/MA/45574
620127917466881733,"2 Dorm, Piscinas, Playa, Wifi, Fire TV, Terraza",454387320,María Jesús,,Churriana,36.622601,-4.498998,Entire home/apt,70,1,0,,,13,291,0,VFT/MA/45566
49890834,Playamar village,51685760,Marian,,Churriana,36.63167,-4.4922,Entire home/apt,121,5,6,2022-06-20,0.53,1,210,6,VFT/MA/42417
31947358,Cortés - MálagadeVacaciones,3298879,Guillermo,,Centro,36.71625,-4.41014,Entire home/apt,129,2,12,2022-06-21,0.30,38,121,5,VFT/MA/19153
4614869,AUTHENTIC LOG COTTAGE WITH COMPLETE PRIVACY,22752822,Conchi,,Churriana,36.6599,-4.53592,Entire home/apt,97,1,124,2022-06-28,1.41,1,205,24,CTC-2018139551
50113133,Luxury Fashion - Torremolinos,171124374,Lorena,,Churriana,36.623016,-4.499976,Entire home/apt,107,3,17,2022-05-27,1.36,9,194,16,VFT/MA/44753
646061234027402530,Apartamento playamar Torremolinos,159176210,Lola,,Churriana,36.6321855,-4.4922184,Entire home/apt,120,6,0,,,1,328,0,VFT/MA/53756
582300192286991165,Apartamento de lujo en primera línea de playa,84874162,Idoia,,Churriana,36.624321,-4.494417,Entire home/apt,186,2,5,2022-06-28,3.85,1,307,5,VFT/MA/50359
572786783659277353,"Apartment Málaga Turismo Vacacional ttluga with Sea View, Pool, A/C & Wi-Fi",187050772,Bookiply,,Este,36.71422,-4.30103,Entire home/apt,330,1,0,,,5,362,0,VFT/MA/26287
53391241,"Villa Mandolyn , vacation home , Costa del Sol",377313901,Petru,,Campanillas,36.698,-4.55645,Entire home/apt,550,6,0,,,1,290,0,CR/MA/02092
41531351,"Apartamento La Biznaga, 1ª Línea de Playa-Centro",11551317,Maria Henar,,Churriana,36.62519,-4.49476,Entire home/apt,104,2,21,2020-10-31,0.72,1,133,0,CTC-2019170505
618534665069503388,Sunrise - luxury apartment with private pool,390947818,ViVi Holiday,,Churriana,36.64333,-4.47934,Entire home/apt,434,1,3,2022-06-21,2.37,10,318,3,VFT/MA/51554
34489760,Tao Apartment,260194488,John,,Churriana,36.62272,-4.50022,Entire home/apt,175,2,1,2019-07-12,0.03,23,0,0,VFT/MA/24848
8020584,"Ático para 6 personas, terraza privada y piscina.",33177662,Nuria,,Este,36.71925,-4.2962,Entire home/apt,108,2,73,2021-08-19,0.95,1,179,6,VFT/MA/19333
636529658980525082,Coqueto apartamento 2 dorm 2 b en Torremolinos,192734420,Marisa,,Churriana,36.62148,-4.50808,Entire home/apt,110,3,0,,,1,19,0,Exempt
35943566,Calle Rio Trueba 11 Bajo D,270360406,Robert,,Churriana,36.62266,-4.50565,Entire home/apt,96,3,28,2022-06-26,0.77,1,140,10,CTC-2019111380
49472465,Bonito apartamento en primera línea de playa.,399005785,Mª Carmen,,Este,36.7151,-4.29931,Entire home/apt,160,2,0,,,1,290,0,Exempt
34101767,Zenplaya 2º3,122843879,Empresa Zensur,,Churriana,36.62218,-4.49526,Entire home/apt,130,1,11,2022-03-13,0.29,11,275,5,ctc-2019065259
52279160,Agradable casa con piscina.,422992336,Inmaculada,,Este,36.71664,-4.29924,Entire home/apt,270,4,0,,,1,180,0,VFTMA39262
617880521308938583,Charming Apartment (Apartamento Encantador),47241169,Ramona,,Churriana,36.621765,-4.504958,Entire home/apt,102,5,0,,,1,313,0,VFT/MA/50951
631103531043421857,"Fully renovated, sea views, beach level access",460071541,Shane,,Churriana,36.62744140625,-4.495952129364014,Entire home/apt,149,3,0,,,1,178,0,VFT/MA/051711
18473776,Apartamento Torremolinos Vistas al mar: Bajondillo,99764962,Elena,,Churriana,36.62421,-4.49501,Entire home/apt,97,7,13,2019-08-29,0.21,1,195,0,VFT/MA/13158
13728914,"Apartamento Playamar, con terraza frente al mar",80290779,Miguel,,Churriana,36.63119,-4.49218,Entire home/apt,188,4,17,2022-06-11,0.23,2,7,7,VTF/MA/02162
35119314,APARTAMENTO CON VISTAS AL MAR Y APARCAMIENTO,203349618,Miguel Angel,,Churriana,36.62405,-4.51387,Entire home/apt,113,7,0,,,2,43,0,CTC-2018125924
567879615305497595,La Orillita Apartamento El Bajondillo,436748559,Carmen,,Churriana,36.622417,-4.49546,Entire home/apt,165,2,0,,,1,193,0,VFT/MA/49682
38038120,MalagaSuite Fuengirola Beach,45749342,Malagasuite Showroom Apartments,,Churriana,36.62255,-4.49462,Entire home/apt,127,1,3,2022-05-07,0.10,31,309,2,CTC:2018182161
19185739,Súperprecio céntrico cerca playa Wifi 5 gigas/Aire,6521716,Adriana,,Churriana,36.62777,-4.49963,Entire home/apt,63,2,83,2022-06-11,1.36,1,204,16,VFT/MA/14092
558356702152836050,Holidays2Torremolinos Alamos 3 bedroom & terrace & pool,115528688,Trinidad,,Churriana,36.64689,-4.48301,Entire home/apt,192,1,2,2022-05-09,0.59,90,258,2,VFT/MA/47115
18519799,TESS Villa Fleury,128553517,TESS Vacacional,,Churriana,36.65094,-4.55164,Entire home/apt,947,3,90,2022-06-18,1.44,4,184,17,VFT/MA/16023
25834685,Luxury apartment Bajondillo beachfront,27936328,Carolina,,Churriana,36.6249,-4.49477,Entire home/apt,174,7,20,2021-09-05,0.42,1,28,3,CTC-2018087842
52998018,Lujoso apartamento cerca de la playa en Playamar 4,428927047,Francisco,,Churriana,36.63835,-4.49145,Entire home/apt,116,5,6,2022-06-19,0.88,1,157,6,VFT/MA/02001
628645707223805345,Villa Galemar Pool & Gardens by Living4Malaga,94173177,Living4Malaga,,Churriana,36.63125,-4.50674,Entire home/apt,2016,6,0,,,60,349,0,VTF/MA/51098
50607554,Brisa Torremolinos,183280723,Paco,,Churriana,36.62311,-4.49562,Entire home/apt,137,3,1,2021-12-06,0.15,2,221,1,VFT/MA/44512
649843730857679988,CENTER & WHITE TOWN APARTMENT,15855867,Pascal,,Churriana,36.62139,-4.4975,Entire home/apt,100,2,0,,,1,338,0,VFT/MA/33201
620122254005486290,ESPECTACULAR VILLA PARA DISFRUTAR EN FAMILIA,457589755,Francisco Javier,,Churriana,36.65559954608464,-4.5376501083374094,Entire home/apt,350,6,0,,,1,310,0,VFT/MA/53510
48221939,Amazing home in Torremolinos with WiFi and 2 Bedrooms,141533534,Novasol,,Churriana,36.6243,-4.49546,Entire home/apt,402,1,0,,,1,168,0,VTF/MA/27675
10448985,Deluxe apartment with sun terrace,24323565,Ludek,,Este,36.71538,-4.30349,Entire home/apt,268,2,3,2022-04-17,0.04,11,299,1,CTC-201665087
31984643,Apartamento junto al Mar,239801821,Isabel,,Este,36.71445,-4.30559,Entire home/apt,133,3,68,2022-06-09,1.64,2,28,8,VFT/MA/27557
710112,"TOWN HOUSE, CLOSE TO THE BEACH",3654516,Julio,,Churriana,36.63294,-4.49015,Entire home/apt,99,60,40,2018-09-18,0.35,2,210,0,
609120718822999209,Apartamento a 5 minutos a pie de la playa.,455139197,Luis Alberto,,Churriana,36.63248,-4.49383,Private room,30,1,0,,,1,22,0,Exempt
14796884,Your nice sea front familiar apartment,21584860,Susana,,Este,36.71619,-4.30047,Entire home/apt,183,4,31,2022-06-26,0.44,1,313,7,WFT/MA06907
50182182,Bonito apartamento con piscina al lado de la playa,405013784,David,,Churriana,36.62906,-4.49713,Entire home/apt,79,2,1,2022-06-06,1,1,301,1,CTC-2021094092
38124560,Bonito apartamento en 1a línea de Playa,160133987,Silvia,,Churriana,36.62346,-4.49473,Entire home/apt,236,6,2,2019-12-31,0.06,1,196,0,VFT/MA/09529
50870940,Babilonia Apartment,232805527,Marco,,Churriana,36.627441,-4.495952,Entire home/apt,77,2,9,2022-05-30,0.77,6,51,9,CTC-2021135325
38987561,3 kamer vakantie appartement op de 2de verdieping,298716382,Marco,,Churriana,36.6224,-4.49959,Entire home/apt,111,3,12,2022-06-20,0.52,1,313,8,VFT/MA/32930
36255832,TESS Villa Paradise,248992805,TESS Vacacional,,Churriana,36.6602,-4.53082,Entire home/apt,1105,3,34,2022-06-11,0.95,8,230,16,VFT/MA/34004
584035583809357887,Precioso apartamento con piscina junto a la playa,172213266,André Vicente,,Churriana,36.63178,-4.48992,Entire home/apt,88,3,1,2022-06-26,1,1,307,1,VTF/MA/50330
